Timestamp_ns,EventTag,Ticker,TraceID
1755024549617148369,T1_MD_received,000001,0
1755024549617482150,T2_market_signal_queue_push,000001,0
1755024549617520790,T1_MD_received,600000,1
1755024549617536859,T2_market_signal_queue_push,600000,1
1755024549617566562,T3_market_signal_queue_pop,000001,0
1755024549617645605,T4_order_created,000001,0
1755024549617668835,T3_market_signal_queue_pop,600000,1
1755024549617694639,T4_order_created,600000,1
1755024549617722102,T5_order_request_queue_pop,000001,0
1755024549617772757,T6_onorderevent,000001,0
1755024549618086112,T5_order_request_queue_pop,600000,1
1755024549618107334,T6_onorderevent,600000,1
1755024555730962936,T1_MD_received,600000,2
1755024555731010274,T2_market_signal_queue_push,600000,2
1755024555731052113,T3_market_signal_queue_pop,600000,2
1755024555731113454,T4_order_created,600000,2
1755024555731147803,T5_order_request_queue_pop,600000,2
1755024555731356992,T6_onorderevent,600000,2
1755024563802431331,T1_MD_received,000001,3
1755024563802495471,T2_market_signal_queue_push,000001,3
1755024563802539656,T3_market_signal_queue_pop,000001,3
1755024563802599380,T4_order_created,000001,3
1755024563802829163,T5_order_request_queue_pop,000001,3
1755024563802847202,T6_onorderevent,000001,3
1755024567729587274,T1_MD_received,600000,4
1755024567729631136,T2_market_signal_queue_push,600000,4
1755024567729672942,T3_market_signal_queue_pop,600000,4
1755024567729730194,T4_order_created,600000,4
1755024567730031912,T5_order_request_queue_pop,600000,4
1755024567730057604,T6_onorderevent,600000,4
1755024571810613818,T1_MD_received,000001,5
1755024571810661398,T2_market_signal_queue_push,000001,5
1755024571810702336,T3_market_signal_queue_pop,000001,5
1755024571810760891,T4_order_created,000001,5
1755024571810792709,T5_order_request_queue_pop,000001,5
1755024571811011873,T6_onorderevent,000001,5
1755024579749697792,T1_MD_received,600000,6
1755024579749747786,T2_market_signal_queue_push,600000,6
1755024579749790252,T3_market_signal_queue_pop,600000,6
1755024579749854514,T4_order_created,600000,6
1755024579750088694,T5_order_request_queue_pop,600000,6
1755024579750108423,T6_onorderevent,600000,6
1755024579838117067,T1_MD_received,000001,7
1755024579838156710,T2_market_signal_queue_push,000001,7
1755024579838192727,T3_market_signal_queue_pop,000001,7
1755024579838239677,T4_order_created,000001,7
1755024579838268344,T5_order_request_queue_pop,000001,7
1755024579838508515,T6_onorderevent,000001,7
1755024587820039911,T1_MD_received,000001,8
1755024587820105697,T2_market_signal_queue_push,000001,8
1755024587820158214,T3_market_signal_queue_pop,000001,8
1755024587820218925,T4_order_created,000001,8
1755024587820251735,T5_order_request_queue_pop,000001,8
1755024587820268741,T6_onorderevent,000001,8
1755024593745516565,T1_MD_received,600000,9
1755024593745542113,T2_market_signal_queue_push,600000,9
1755024593745591027,T3_market_signal_queue_pop,600000,9
1755024593745645368,T4_order_created,600000,9
1755024593745679452,T5_order_request_queue_pop,600000,9
1755024593745699311,T6_onorderevent,600000,9
1755024595839975215,T1_MD_received,000001,10
1755024595840252101,T2_market_signal_queue_push,000001,10
1755024595840296977,T3_market_signal_queue_pop,000001,10
1755024595840324814,T4_order_created,000001,10
1755024595840355665,T5_order_request_queue_pop,000001,10
1755024595840372747,T6_onorderevent,000001,10
1755024605733650436,T1_MD_received,600000,11
1755024605733677156,T2_market_signal_queue_push,600000,11
1755024605733707106,T3_market_signal_queue_pop,600000,11
1755024605733757836,T4_order_created,600000,11
1755024605733796066,T5_order_request_queue_pop,600000,11
1755024605733814446,T6_onorderevent,600000,11
1755024607822457108,T1_MD_received,000001,12
1755024607822487227,T2_market_signal_queue_push,000001,12
1755024607822773131,T3_market_signal_queue_pop,000001,12
1755024607822795810,T4_order_created,000001,12
1755024607822823968,T5_order_request_queue_pop,000001,12
1755024607822843421,T6_onorderevent,000001,12
1755024615741208755,T1_MD_received,600000,13
1755024615741235622,T2_market_signal_queue_push,600000,13
1755024615741270097,T3_market_signal_queue_pop,600000,13
1755024615741326346,T4_order_created,600000,13
1755024615741367079,T5_order_request_queue_pop,600000,13
1755024615741386068,T6_onorderevent,600000,13
1755024617829621384,T1_MD_received,000001,14
1755024617829647918,T2_market_signal_queue_push,000001,14
1755024617829947806,T3_market_signal_queue_pop,000001,14
1755024617829983747,T4_order_created,000001,14
1755024617830014218,T5_order_request_queue_pop,000001,14
1755024617830031660,T6_onorderevent,000001,14
1755024627737963571,T1_MD_received,600000,15
1755024627737989430,T2_market_signal_queue_push,600000,15
1755024627738024203,T3_market_signal_queue_pop,600000,15
1755024627738078875,T4_order_created,600000,15
1755024627738120560,T5_order_request_queue_pop,600000,15
1755024627738140054,T6_onorderevent,600000,15
1755024627820535318,T1_MD_received,000001,16
1755024627820784610,T2_market_signal_queue_push,000001,16
1755024627820827705,T3_market_signal_queue_pop,000001,16
1755024627820855160,T4_order_created,000001,16
